symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
AUDNZD,2025Q4,54,11,20.37,-0.423,0.47,False
AUDNZD,2026Q1,32,12,37.5,0.025,1.04,False
CADCHF,2023Q1,36,21,58.33,0.513,2.38,True
CADCHF,2023Q2,34,23,67.65,0.7,3.16,True
CADCHF,2023Q3,50,17,34.0,-0.102,0.84,False
CADCHF,2023Q4,48,30,62.5,0.758,3.07,True
CADCHF,2024Q1,42,16,38.1,0.071,1.13,False
CADCHF,2024Q2,51,23,45.1,0.173,1.33,False
CADCHF,2024Q3,51,23,45.1,0.251,1.49,False
CADCHF,2024Q4,60,32,53.33,0.445,1.99,True
CADCHF,2025Q1,40,20,50.0,0.371,1.76,True
CADCHF,2025Q2,53,27,50.94,0.48,2.01,True
CADCHF,2025Q3,47,17,36.17,0.011,1.02,False
CADCHF,2025Q4,39,19,48.72,0.32,1.64,True
CADCHF,2026Q1,13,5,38.46,0.108,1.21,False
USDMXN,2023Q1,65,31,47.69,0.313,1.65,False
USDMXN,2023Q2,47,26,55.32,0.481,2.25,True
USDMXN,2023Q3,51,32,62.75,0.642,2.72,True
USDMXN,2023Q4,48,26,54.17,0.53,2.25,True
USDMXN,2024Q1,66,33,50.0,0.369,1.78,True
USDMXN,2024Q2,45,25,55.56,0.612,2.43,True
USDMXN,2024Q3,42,23,54.76,0.589,2.61,True
USDMXN,2024Q4,41,17,41.46,0.066,1.12,False
USDMXN,2025Q1,45,22,48.89,0.243,1.47,True
USDMXN,2025Q2,59,32,54.24,0.494,2.13,True
USDMXN,2025Q3,56,36,64.29,0.764,3.33,True
USDMXN,2025Q4,56,23,41.07,0.185,1.34,False
USDMXN,2026Q1,38,18,47.37,0.362,1.69,False
USDTRY,2023Q1,89,16,17.98,-0.49,0.39,False
USDTRY,2023Q2,75,12,16.0,-0.585,0.29,False
USDTRY,2023Q3,109,18,16.51,-0.553,0.33,False
USDTRY,2023Q4,118,27,22.88,-0.383,0.5,False
USDTRY,2024Q1,115,17,14.78,-0.577,0.32,False
USDTRY,2024Q2,51,16,31.37,-0.075,0.89,False
USDTRY,2024Q3,74,18,24.32,-0.365,0.52,False
USDTRY,2024Q4,76,16,21.05,-0.46,0.42,False
USDTRY,2025Q1,107,17,15.89,-0.617,0.27,False
USDTRY,2025Q2,44,12,27.27,-0.318,0.53,False
USDTRY,2025Q3,65,5,7.69,-0.77,0.14,False
USDTRY,2025Q4,44,6,13.64,-0.583,0.29,False
USDTRY,2026Q1,34,7,20.59,-0.502,0.37,False
EURSEK,2023Q1,49,23,46.94,0.316,1.66,False
EURSEK,2023Q2,32,14,43.75,0.207,1.37,False
EURSEK,2023Q3,48,21,43.75,0.354,1.73,False
EURSEK,2023Q4,45,22,48.89,0.293,1.59,True
EURSEK,2024Q1,51,24,47.06,0.354,1.69,False
EURSEK,2024Q2,37,16,43.24,0.074,1.14,False
EURSEK,2024Q3,48,27,56.25,0.598,2.52,True
EURSEK,2024Q4,39,14,35.9,0.052,1.09,False
EURSEK,2025Q1,47,26,55.32,0.515,2.26,True
EURSEK,2025Q2,36,11,30.56,-0.222,0.65,False
EURSEK,2025Q3,27,11,40.74,0.096,1.16,False
EURSEK,2025Q4,59,28,47.46,0.279,1.53,False
EURSEK,2026Q1,29,17,58.62,0.577,2.4,False
EURTRY,2023Q1,69,31,44.93,0.207,1.38,False
EURTRY,2023Q2,74,19,25.68,-0.276,0.63,False
EURTRY,2023Q3,67,17,25.37,-0.284,0.62,False
EURTRY,2023Q4,85,31,36.47,0.037,1.06,False
EURTRY,2024Q1,79,22,27.85,-0.196,0.71,False
EURTRY,2024Q2,62,17,27.42,-0.184,0.73,False
EURTRY,2024Q3,74,24,32.43,-0.122,0.82,False
EURTRY,2024Q4,41,19,46.34,0.281,1.52,False
EURTRY,2025Q1,64,26,40.62,0.187,1.33,False
EURTRY,2025Q2,75,31,41.33,0.094,1.16,False
EURTRY,2025Q3,69,32,46.38,0.307,1.59,False
EURTRY,2025Q4,71,21,29.58,-0.197,0.72,False
EURTRY,2026Q1,24,5,20.83,-0.323,0.56,False
XAUUSD,2023Q1,57,27,47.37,0.323,1.66,False
XAUUSD,2023Q2,35,18,51.43,0.444,1.96,True
XAUUSD,2023Q3,53,25,47.17,0.203,1.4,False
XAUUSD,2023Q4,43,21,48.84,0.328,1.72,True
XAUUSD,2024Q1,47,24,51.06,0.383,1.86,True
XAUUSD,2024Q2,54,22,40.74,0.061,1.11,False
XAUUSD,2024Q3,64,37,57.81,0.626,2.58,True
XAUUSD,2024Q4,62,28,45.16,0.28,1.54,False
XAUUSD,2025Q1,69,38,55.07,0.445,2.03,True
XAUUSD,2025Q2,36,20,55.56,0.518,2.18,True
XAUUSD,2025Q3,51,28,54.9,0.558,2.29,True
XAUUSD,2025Q4,59,31,52.54,0.435,1.95,True
XAUUSD,2026Q1,35,16,45.71,0.252,1.51,False
