window,test_start,test_end,alpha,beta,adf_p,skipped,n_trades,y,x
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.4340294740681762,0.3171395338331121,0.0011784398308626479,,1.0,NZDCAD,GBPAUD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.13366135667853118,0.21455147109890965,0.03896073385182126,,1.0,GBPCHF,USDCHF
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.15334672187819093,0.38033852303066523,0.08435186658255456,,1.0,GBPCHF,USDCHF
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.17532699934403426,0.5386554241818309,0.04917445174409842,,2.0,GBPCHF,USDCHF
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.16630860415540227,0.43074243019642244,0.12342717169785505,adf_gate,,GBPCHF,USDCHF
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.17893154416419416,0.4791763881934236,0.0024889741946546823,,1.0,GBPCHF,USDCHF
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.15621645556705172,0.2757150614312888,0.0012525597790056953,,0.0,GBPCHF,USDCHF
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.15727729736647447,0.29947632479442354,0.0004465934062606721,,1.0,GBPCHF,USDCHF
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,0.16394475827850905,0.36930876836399795,0.000624743238051664,,1.0,GBPCHF,USDCHF
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.1723858112573515,0.4435779835052124,0.02235531764833335,,1.0,GBPCHF,USDCHF
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.13358071818728587,-0.786015058306956,0.0407183260896117,,1.0,GBPUSD,USDCHF
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.1533513236729507,-0.619517023443553,0.08355881489924438,,1.0,GBPUSD,USDCHF
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.17535852962429005,-0.4609982806682533,0.04990123881185822,,2.0,GBPUSD,USDCHF
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.16629910044898555,-0.5693114227621907,0.1290034940997476,adf_gate,,GBPUSD,USDCHF
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.17892971496522572,-0.5208781684050201,0.002517811380013674,,1.0,GBPUSD,USDCHF
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.15617729991712964,-0.7246699256758194,0.0012567442741199888,,0.0,GBPUSD,USDCHF
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.15731063695032407,-0.7002690746566367,0.0004545055167404892,,1.0,GBPUSD,USDCHF
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,0.16398009173319758,-0.6303587505583492,0.0006489742643380102,,1.0,GBPUSD,USDCHF
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.17240133885973402,-0.5561633172023154,0.022769308219262676,,1.0,GBPUSD,USDCHF
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.21021934190472555,-0.38124425245162535,0.14094845644504966,adf_gate,,EURCHF,GBPAUD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.2124811452194728,-0.389876245056974,0.029155958754345464,,2.0,EURCHF,GBPAUD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.07609979657246946,0.05354167783965556,0.05225922184584762,,1.0,EURCHF,GBPAUD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.1147724707777508,-0.24249972145338078,0.08262015367796571,,3.0,EURCHF,GBPAUD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.3995491547880862,-0.67801214095069,0.0016744019510201806,,3.0,EURCHF,GBPAUD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.2257398730345124,-0.41029731319859747,0.0789990033757208,,0.0,EURCHF,GBPAUD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.027107662803343528,-0.1248650797177901,0.004497889338106312,,2.0,EURCHF,GBPAUD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.058376046286500644,-0.0076476370977160745,0.005788434623391481,,2.0,EURCHF,GBPAUD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.042207730407113196,-0.032319410530238964,0.020450400843868233,,1.0,EURCHF,GBPAUD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.24914644630762994,-0.39396732996450234,0.14410968822438053,adf_gate,,EURCHF,GBPNZD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.13709103799193903,-0.24476181781514392,0.05148259158863694,,1.0,EURCHF,GBPNZD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.3399932858201703,0.4089487520134716,0.022903234486476975,,1.0,EURCHF,GBPNZD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.15239682794532636,0.14778909972738344,0.09057317806131893,,1.0,EURCHF,GBPNZD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.19031570674391457,-0.3195505808959303,0.013396253159146825,,4.0,EURCHF,GBPNZD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.22800269206719956,-0.3629432502999938,0.0600186150503634,,0.0,EURCHF,GBPNZD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.03014335136042176,-0.11413009307851786,0.0020561075896754306,,2.0,EURCHF,GBPNZD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.07404655590081204,0.012809825598369694,0.0056314906885423476,,2.0,EURCHF,GBPNZD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.09869381837350916,-0.20057112045762557,0.002440651024066167,,1.0,EURCHF,GBPNZD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,-0.26819045568636707,1.011433353671606,0.016235613802735582,,0.0,AUDUSD,EURGBP
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,-0.4026240521801915,0.11208099689965807,0.014720130866691146,,1.0,AUDUSD,EURGBP
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.5351404183670397,-0.7388387661645031,0.004212070212177074,,3.0,AUDUSD,EURGBP
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.5842352092634515,-1.069257055522678,0.0033881253652763956,,1.0,AUDUSD,EURGBP
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.3896204167169645,0.15683186281677267,0.33529870849294036,adf_gate,,AUDUSD,EURGBP
