entry_time,exit_time,side,entry_spread,exit_spread,entry_z,exit_z,gross_pnl,cost,net_pnl,duration_bars,duration_days,exit_reason,y,x
2023-11-14 19:00:00+02:00,2024-01-16 19:00:00+02:00,-1,-0.005410172914562028,0.0031187694350464923,2.3516791338055882,0.4414091993609012,-0.00852894234960852,0.0049,-0.01342894234960852,258,43.0,mean_revert,NZDCAD,GBPUSD
2024-03-21 23:00:00+02:00,2024-04-09 16:00:00+03:00,1,-0.008846080073742074,-0.0006113727091290599,-2.028908969011305,-0.22718693605702953,0.008234707364613014,0.0019166666666666663,0.006318040697946348,79,13.166666666666666,mean_revert,NZDCAD,GBPUSD
2024-04-19 04:00:00+03:00,2024-05-03 16:00:00+03:00,1,-0.021716830394638315,-0.0033192704577273136,-2.1957468461689973,0.13085220875640818,0.018397559936911,0.0016833333333333336,0.016714226603577666,65,10.833333333333334,mean_revert,NZDCAD,GBPUSD
2024-06-03 20:00:00+03:00,2024-06-28 04:00:00+03:00,-1,0.023403464399288143,0.009191143475965696,2.0692067017538225,0.48929506049400406,0.014212320923322447,0.002483333333333333,0.011728987589989113,113,18.833333333333332,mean_revert,NZDCAD,GBPUSD
2024-08-29 04:00:00+03:00,2024-09-09 12:00:00+03:00,-1,0.03173275868600725,0.014417693026475248,2.019457094064909,0.1515032105990281,0.017315065659532003,0.0013666666666666666,0.015948398992865338,46,7.666666666666667,mean_revert,NZDCAD,GBPUSD
2024-09-19 12:00:00+03:00,2024-10-04 16:00:00+03:00,-1,0.035303432514191324,0.01932121531096445,2.100153037245605,0.3287352645036869,0.015982217203226873,0.0017499999999999998,0.014232217203226873,69,11.5,mean_revert,NZDCAD,GBPUSD
2024-11-14 11:00:00+02:00,2025-01-24 11:00:00+02:00,1,-0.0052079500507437315,-0.009908980845410392,-2.0272766194429215,-0.4884136729278811,-0.004701030794666661,0.0055,-0.01020103079466666,294,49.0,mean_revert,NZDCAD,GBPUSD
2025-03-17 11:00:00+02:00,2025-03-31 00:00:00+03:00,-1,0.00954724402965526,-0.007380298922097045,2.136006694764736,0.4833179510963781,0.016927542951752306,0.0015833333333333333,0.015344209618418973,59,9.833333333333334,mean_revert,NZDCAD,GBPUSD
2025-04-04 20:00:00+03:00,2025-04-11 08:00:00+03:00,1,-0.03542765469889261,-0.01799232356947897,-2.1832695218687634,-0.3326508135282827,0.017435331129413645,0.0010666666666666667,0.016368664462746978,28,4.666666666666667,mean_revert,NZDCAD,GBPUSD
2025-04-21 08:00:00+03:00,2025-05-12 20:00:00+03:00,-1,0.0132403488952538,-0.0005302537251569983,2.0897502975724227,0.45897110636487914,0.013770602620410799,0.0022,0.011570602620410798,96,16.0,mean_revert,NZDCAD,GBPUSD
2025-07-31 00:00:00+03:00,2025-08-12 20:00:00+03:00,1,-0.005915576643188508,0.0033080233405738957,-2.38931503101329,-0.30349456271367703,0.009223599983762404,0.0015166666666666666,0.007706933317095738,55,9.166666666666666,mean_revert,NZDCAD,GBPUSD
2025-08-20 08:00:00+03:00,2025-09-05 16:00:00+03:00,1,-0.00987219708914136,-0.0005584506270086276,-2.505206072254454,-0.37555907537199246,0.009313746462132733,0.0018666666666666666,0.007447079795466066,76,12.666666666666666,mean_revert,NZDCAD,GBPUSD
2025-09-25 16:00:00+03:00,2025-10-03 12:00:00+03:00,1,-0.01841620344429773,-0.0036655862958887286,-2.350945964504979,-0.34998992529519096,0.014750617148409001,0.0012,0.013550617148409001,36,6.0,mean_revert,NZDCAD,GBPUSD
2025-10-08 08:00:00+03:00,2025-11-27 03:00:00+02:00,1,-0.020172742498690166,-0.020433613141874835,-2.1526157544644504,-0.4419688856424568,-0.00026087064318466857,0.004216666666666666,-0.004477537309851335,217,36.166666666666664,mean_revert,NZDCAD,GBPUSD
2026-01-22 11:00:00+02:00,2026-03-03 07:00:00+02:00,-1,-0.008397352752937043,-0.009579059788068334,2.048603145158635,0.38777247903503764,0.0011817070351312908,0.0033833333333333332,-0.0022016262982020424,167,27.833333333333332,mean_revert,NZDCAD,GBPUSD
2022-09-06 20:00:00+03:00,2022-10-18 16:00:00+03:00,1,-0.06962918374855769,-0.0741917746298502,-2.0654057946472593,-0.480594434348213,-0.0045625908812925164,0.003683333333333333,-0.00824592421462585,185,30.833333333333332,mean_revert,NZDCAD,GBPAUD
2022-11-15 15:00:00+02:00,2023-01-31 23:00:00+02:00,-1,-0.032470388455709945,0.011017662101340156,2.1218988523907596,0.4116012605968556,-0.0434880505570501,0.006033333333333333,-0.049521383890383436,326,54.333333333333336,mean_revert,NZDCAD,GBPAUD
2023-05-30 00:00:00+03:00,2023-07-05 12:00:00+03:00,1,-0.009508511985616572,-0.007511015902133392,-2.030422264750218,-0.3716252112323683,0.00199749608348318,0.003333333333333333,-0.001335837249850153,164,27.333333333333332,mean_revert,NZDCAD,GBPAUD
2023-09-14 20:00:00+03:00,2023-09-29 12:00:00+03:00,1,-0.03390140728251061,-0.02312776653600178,-2.0196155873086687,-0.49435992796891687,0.010773640746508828,0.0017000000000000001,0.009073640746508828,66,11.0,mean_revert,NZDCAD,GBPAUD
2023-11-14 19:00:00+02:00,2024-01-16 19:00:00+02:00,-1,-0.005700056928391747,0.0006742931412825753,2.42262811866275,0.45650346726802676,-0.006374350069674323,0.0049,-0.011274350069674323,258,43.0,mean_revert,NZDCAD,GBPAUD
2024-02-23 23:00:00+02:00,2024-02-28 03:00:00+02:00,-1,0.013855223506062345,0.005146687108829914,2.0180834076631293,0.4084627944685373,0.00870853639723243,0.0008166666666666666,0.007891869730565763,13,2.1666666666666665,mean_revert,NZDCAD,GBPAUD
2024-03-21 15:00:00+02:00,2024-04-09 16:00:00+03:00,1,-0.008790115729068251,-0.004515302112198374,-2.134985117927042,-0.40776991003024154,0.004274813616869877,0.00195,0.002324813616869877,81,13.5,mean_revert,NZDCAD,GBPAUD
2024-04-22 16:00:00+03:00,2024-05-03 16:00:00+03:00,1,-0.020873092567232007,-0.008069671610238818,-2.010786329108594,-0.2761266205305113,0.012803420956993189,0.0015166666666666666,0.011286754290326523,55,9.166666666666666,mean_revert,NZDCAD,GBPAUD
2024-06-03 20:00:00+03:00,2024-06-26 16:00:00+03:00,-1,0.019123622755883016,0.0047013484383282705,2.167788573404996,0.37658809471502597,0.014422274317554745,0.002333333333333333,0.012088940984221412,104,17.333333333333332,mean_revert,NZDCAD,GBPAUD
2024-08-29 04:00:00+03:00,2024-09-09 12:00:00+03:00,-1,0.026737132607231248,0.013361909130884905,2.0349138150899337,0.44725295672424076,0.013375223476346343,0.0013666666666666666,0.012008556809679676,46,7.666666666666667,mean_revert,NZDCAD,GBPAUD
2024-09-18 12:00:00+03:00,2024-10-03 12:00:00+03:00,-1,0.026802789352298642,0.01699985635923547,2.0333210734291938,0.47016087114558797,0.009802932993063174,0.0017333333333333333,0.00806959965972984,68,11.333333333333334,mean_revert,NZDCAD,GBPAUD
2024-11-14 11:00:00+02:00,2024-12-06 15:00:00+02:00,1,-0.002664412610460923,0.009695374981050317,-2.1999315648986855,-0.3825165195561184,0.01235978759151124,0.0022166666666666667,0.010143120924844573,97,16.166666666666668,mean_revert,NZDCAD,GBPAUD
2024-12-31 23:00:00+02:00,2025-01-24 07:00:00+02:00,1,-0.014248762270268403,-0.0046390081371118636,-2.051882073904693,-0.44766268853460556,0.00960975413315654,0.0022333333333333333,0.007376420799823206,98,16.333333333333332,mean_revert,NZDCAD,GBPAUD
2025-03-06 15:00:00+02:00,2025-04-04 04:00:00+03:00,-1,0.012087570755338325,0.002828927423526348,2.171082484336681,0.4849507844746021,0.009258643331811978,0.0027166666666666667,0.006541976665145311,127,21.166666666666668,mean_revert,NZDCAD,GBPAUD
2025-04-21 08:00:00+03:00,2025-05-05 00:00:00+03:00,-1,0.024121016473077392,0.009838436316700103,2.0539673974126424,0.49282270851845184,0.01428258015637729,0.0015999999999999999,0.012682580156377288,60,10.0,mean_revert,NZDCAD,GBPAUD
2025-07-16 00:00:00+03:00,2025-07-25 20:00:00+03:00,1,0.003871459952331055,0.01375614610430674,-2.048807512343448,-0.43941777695423523,0.009884686151975686,0.0014,0.008484686151975685,48,8.0,mean_revert,NZDCAD,GBPAUD
2025-07-31 00:00:00+03:00,2025-08-12 20:00:00+03:00,1,0.003185215763909524,0.011139403314617782,-2.2808897272424224,-0.4633375342138777,0.007954187550708258,0.0015166666666666666,0.006437520884041592,55,9.166666666666666,mean_revert,NZDCAD,GBPAUD
2025-08-20 16:00:00+03:00,2025-09-08 12:00:00+03:00,1,-0.0009676509168326103,0.007271466844153071,-2.272291246411109,-0.3691557367786298,0.008239117760985681,0.0019333333333333333,0.006305784427652348,80,13.333333333333334,mean_revert,NZDCAD,GBPAUD
2025-09-19 20:00:00+03:00,2025-11-27 03:00:00+02:00,1,-0.008169815637418573,-0.014911736676379087,-2.2030759352296356,-0.3954284427552283,-0.006741921038960513,0.005516666666666666,-0.01225858770562718,295,49.166666666666664,mean_revert,NZDCAD,GBPAUD
2026-01-22 23:00:00+02:00,2026-02-19 15:00:00+02:00,-1,-0.005004624915709618,-0.013837878130062611,2.2431481895717615,0.44344450956023773,0.008833253214352993,0.0025666666666666667,0.006266586547686326,118,19.666666666666668,mean_revert,NZDCAD,GBPAUD
2026-03-08 23:00:00+02:00,2026-04-08 08:00:00+03:00,1,-0.037245235092471365,-0.02602263995257871,-2.2839712562948535,-0.36222460786476474,0.011222595139892655,0.0029,0.008322595139892655,138,23.0,mean_revert,NZDCAD,GBPAUD
2022-09-05 04:00:00+03:00,2022-09-26 04:00:00+03:00,1,-0.030618289331723364,-0.1137553346530752,-2.0039165889254713,-4.625740894305782,-0.08313704532135184,0.00215,-0.08528704532135184,93,15.5,stop_z,GBPCHF,USDCHF
2022-09-26 08:00:00+03:00,2022-10-13 20:00:00+03:00,1,-0.1122531330694867,-0.03313563602119626,-4.455030207782581,-0.3816384779728521,0.07911749704829044,0.0019833333333333335,0.0771341637149571,83,13.833333333333334,mean_revert,GBPCHF,USDCHF
2022-12-05 03:00:00+02:00,2022-12-21 19:00:00+02:00,-1,0.009359081554532661,-0.01734653989952034,2.00937362679804,0.4871957292895856,0.026705621454053002,0.0018666666666666666,0.024838954787386337,76,12.666666666666666,mean_revert,GBPCHF,USDCHF
2023-04-04 12:00:00+03:00,2023-04-12 16:00:00+03:00,-1,0.00788546757599623,-0.006697302591949339,2.2561543653450116,0.45743006307843526,0.014582770167945569,0.0012333333333333332,0.013349436834612236,38,6.333333333333333,mean_revert,GBPCHF,USDCHF
