y,x,beta,half_life_hours,n_trades,total_pnl,avg_pnl,hit_rate,sharpe,max_dd,avg_duration_days,n_trades_is,total_pnl_is,avg_pnl_is,hit_rate_is,sharpe_is,max_dd_is,avg_duration_days_is,n_trades_oos,total_pnl_oos,avg_pnl_oos,hit_rate_oos,sharpe_oos,max_dd_oos,avg_duration_days_oos
NZDCAD,EURUSD,-0.1099905420611236,478.97677757904887,18,0.04983256206250042,0.002768475670138912,0.6111111111111112,0.7548037207000262,-0.04999460625775163,22.02777777777778,16,0.05534923790838948,0.0034593273692743423,0.6875,0.9160056303005089,-0.020942858889865967,21.0625,1,-0.000163683366010674,-0.000163683366010674,0.0,0.0,0.0,27.666666666666668
NZDCAD,EURCHF,0.4454492388949316,400.8734617182496,25,0.08045432458913027,0.0032181729835652107,0.68,1.2339607092329816,-0.0307762900669562,15.553333333333333,22,0.061680442375394474,0.00280365647160884,0.6818181818181818,1.1057852412178966,-0.028596976612969803,14.886363636363638,1,-0.008960080751511171,-0.008960080751511171,0.0,0.0,0.0,29.666666666666668
GBPNZD,CADCHF,-0.8716015890506624,430.86517210554416,35,0.10181935294240964,0.0029091243697831324,0.5428571428571428,0.9707214224989975,-0.04488900993006171,10.523809523809524,30,0.06000400212910538,0.002000133404303513,0.5333333333333333,0.8729009045629862,-0.04488900993006171,10.211111111111112,2,-0.0018509069771544488,-0.0009254534885772244,0.5,-0.4315837778964436,-0.007172887664039137,21.5
GBPUSD,EURAUD,0.6431034597892479,457.51381485053855,21,0.037845423292492304,0.001802163013928205,0.7619047619047619,0.25866068587131347,-0.02540116598594938,19.801587301587304,15,0.10723148694810322,0.0071487657965402145,0.8666666666666667,2.6362027482727934,-0.024122070694025437,20.66666666666667,2,-0.010959261925049098,-0.005479630962524549,0.5,-0.6543273696062399,0.0,32.25
NZDCAD,USDJPY,-0.2125773516491582,452.01625837226993,29,0.05003154472545175,0.0017252256801879914,0.6551724137931034,0.8125940989027584,-0.03749958868786569,11.850574712643677,26,0.05595790154759689,0.0021522269825998805,0.6538461538461539,1.032297163809475,-0.031461877589032405,11.256410256410257,2,-0.006520707002638647,-0.0032603535013193234,0.5,-0.9139739865856698,0.0,15.083333333333332
AUDCAD,AUDNZD,0.4646800542413882,476.7796089064129,32,0.004255260318769237,0.00013297688496153866,0.53125,0.06006347057480382,-0.036036889327206514,12.057291666666666,27,0.017517756754661322,0.0006488058057281971,0.5555555555555556,0.29398074218980075,-0.036036889327206514,11.93827160493827,4,-0.01211453713656916,-0.00302863428414229,0.5,-1.2186626416516564,-0.009585278051047495,9.958333333333334
NZDCAD,CADJPY,-0.2042162879638714,493.5103636409101,27,0.02492215361800426,0.0009230427265927504,0.5555555555555556,0.35323511024813165,-0.04448149026311923,13.203703703703702,23,0.03684773789218025,0.0016020755605295762,0.5652173913043478,0.7216504865321336,-0.04448149026311923,13.1231884057971,2,-0.009107668945426826,-0.004553834472713413,0.5,-1.2833925950424676,0.0,15.083333333333332
NZDCAD,AUDNZD,-0.5336858894423601,443.565393946706,32,0.03108779457851474,0.0009714935805785857,0.59375,0.42134528243983377,-0.030361688725082193,11.614583333333332,26,0.042270409675043696,0.0016257849875016806,0.6538461538461539,0.6506888989199651,-0.030361688725082193,11.83974358974359,5,-0.010686305864676057,-0.0021372611729352114,0.4,-1.6434128089675697,-0.008499226050766164,8.066666666666666
EURJPY,CHFJPY,0.7773412729272063,481.4137524552704,22,0.08056211763936011,0.003661914438152732,0.8636363636363636,1.6437689961386157,-0.04859123372811996,16.280303030303028,19,0.0746125942429179,0.0039269786443641,0.8947368421052632,1.8253366965057485,-0.048591233728119965,14.105263157894736,2,-0.005816625582535439,-0.0029083127912677195,0.5,-1.7367023175901466,0.0,37.333333333333336
CADCHF,EURNZD,-1.0353722778455043,421.75255499173454,29,0.08525260127551594,0.002939744871569515,0.6206896551724138,1.0743348242358368,-0.05065427872878729,13.591954022988507,26,0.09416676031072516,0.003621798473489429,0.6153846153846154,1.4339627857873622,-0.05065427872878729,12.935897435897434,2,-0.02336201393861202,-0.01168100696930601,0.5,-2.1965050259469825,0.0,18.5
EURCHF,CHFJPY,-0.2226310019950994,474.4538241154893,22,0.08298538626432568,0.0037720630120148036,0.7727272727272727,1.637533943238208,-0.05048908479056001,16.12121212121212,19,0.07807628371838307,0.0041092780904412145,0.8421052631578947,1.8389291343999943,-0.05048908479056001,14.052631578947365,2,-0.006833631192700123,-0.0034168155963500615,0.0,-2.4788153099728043,-0.00031685994896209126,36.08333333333333
NZDCAD,CHFJPY,-0.1513404196703546,356.12121851776044,23,0.052410439278746654,0.0022787147512498547,0.782608695652174,0.8208798863841795,-0.045054374156954714,15.10869565217391,19,0.058000563279695036,0.0030526612252471073,0.8421052631578947,1.069077650433371,-0.03155874254303919,15.31578947368421,2,-0.016209321029722737,-0.008104660514861368,0.5,-3.1566450767319085,0.0,14.833333333333332
EURAUD,USDCHF,-0.7031319786930873,487.5717136951743,24,0.01822749169926946,0.0007594788208028941,0.5833333333333334,0.19566768999607204,-0.07641872410739983,15.444444444444445,19,0.0910211680096685,0.004790587789982553,0.6842105263157895,1.5649516879028218,-0.05726658048339772,14.50877192982456,4,-0.07641872410739985,-0.01910468102684996,0.0,-3.467718614802033,-0.018658812888533265,16.208333333333332
NZDCHF,EURNZD,-1.297277005642034,445.4718729545245,25,0.0994124434092426,0.003976497736369704,0.72,2.020762089037573,-0.033715481778703205,14.96,21,0.10999810841934504,0.0052380051628259545,0.8095238095238095,2.824916987251016,-0.033715481778703205,14.857142857142858,3,-0.02325631409069851,-0.0077521046968995035,0.0,-7.375184083362157,-0.011255517584305116,14.277777777777779
EURAUD,AUDCHF,-0.6780345777471789,495.4255995173649,29,0.023666339404791535,0.0008160806691307426,0.5517241379310345,0.5777521336456425,-0.041981597943861325,14.977011494252874,21,0.06564793734865285,0.0031260922546977547,0.7619047619047619,2.219137450740868,-0.01586775509815195,17.65873015873016,8,-0.041981597943861304,-0.005247699742982663,0.0,-8.105923772698324,-0.02734564934090727,7.9375
EURCHF,GBPAUD,-0.3868610399136192,414.0754339434686,26,0.07482443378621485,0.0028778628379313403,0.6153846153846154,1.4118722671358137,-0.04292294832682121,12.660256410256409,20,0.07082750443783697,0.003541375221891849,0.7,2.130680234697175,-0.018559691381559308,13.23333333333333,4,-0.039828017429122266,-0.009957004357280566,0.0,-10.075725362537229,-0.02371950318039592,11.208333333333334
