symbol,samples,median_pips,mean_pips,max_pips,median_points,max_points
TROW,20,1.7,1.7,1.7,17.0,17
CPRI,20,1.7,1.7,1.7,17.0,17
INCY,20,1.7,1.7,1.7,17.0,17
COO,20,1.7,1.7,1.7,17.0,17
NZDCAD.i,20,1.7,1.7399999999999998,1.9,17.0,19
DG,20,1.7,1.7,1.7,17.0,17
AFL,20,1.7,1.7,1.7,17.0,17
W,20,1.7,1.7,1.7,17.0,17
A,20,1.7,1.7,1.7,17.0,17
BX,20,1.7,1.7,1.7,17.0,17
EQR,20,1.7,1.7,1.7,17.0,17
AUDJPY.i,20,1.7,1.6949999999999998,1.9,17.0,19
CE,20,1.7,1.7,1.7,17.0,17
SONO,20,1.8,1.8,1.8,18.0,18
ALIBABA.i,20,1.8,1.8,1.8,18.0,18
EURCAD.i,20,1.8,1.7550000000000001,1.9,18.0,19
APPLE.i,20,1.8,1.8,1.8,18.0,18
BOX,20,1.8,1.8,1.8,18.0,18
MICROSOFT.i,20,1.8,1.8,1.8,18.0,18
LVMH.i,20,1.8,1.775,2.8,18.0,28
TEVA.i,20,1.8,1.8,1.8,18.0,18
ALLIANZ.i,20,1.8,2.05,2.8,18.0,28
WLK,20,1.8,1.8,1.8,18.0,18
AOS,20,1.8,1.8,1.8,18.0,18
AUDCAD.i,20,1.8,1.825,1.9,18.0,19
JOHNSON.i,20,1.8,1.8,1.8,18.0,18
PPG,20,1.8,1.8,1.8,18.0,18
IFF,20,1.8,1.8,1.8,18.0,18
WDAY,20,1.8,1.8,1.8,18.0,18
CLB,20,1.8,1.8,1.8,18.0,18
TRMB,20,1.8,1.8,1.8,18.0,18
CADJPY.i,20,1.8,1.8199999999999998,2.0,18.0,20
SIEMENS.i,20,1.8,1.925,2.3,18.0,23
AEM,20,1.8,1.8,1.8,18.0,18
TRI,20,1.9,1.9,1.9,19.0,19
WIX,20,1.9,1.9,1.9,19.0,19
QCOM,20,1.9,1.9,1.9,19.0,19
PSX,20,1.9,1.9,1.9,19.0,19
SYF,20,1.9,1.9,1.9,19.0,19
HUT,20,1.9,1.9,1.9,19.0,19
FI,20,1.9,1.9,1.9,19.0,19
ETD,20,1.9,1.9,1.9,19.0,19
GBPCHF.i,20,1.9,1.95,2.1,19.0,21
SENS,20,1.9,1.9,1.9,19.0,19
EBAY.i,20,1.9,1.9,1.9,19.0,19
CCI,20,1.9,1.9,1.9,19.0,19
EW,20,1.9,1.9,1.9,19.0,19
ZTS,20,2.0,2.0,2.0,20.0,20
PNR,20,2.0,2.0,2.0,20.0,20
REG,20,2.0,2.0,2.0,20.0,20
JKS,20,2.0,2.0,2.0,20.0,20
MD,20,2.0,2.0,2.0,20.0,20
EL,20,2.0,2.0,2.0,20.0,20
FTNT,20,2.0,2.0,2.0,20.0,20
GILD,20,2.0,2.0,2.0,20.0,20
ON,20,2.0,2.0,2.0,20.0,20
VTR,20,2.0,2.0,2.0,20.0,20
KKR,20,2.0,2.0,2.0,20.0,20
IBM.i,20,2.0,2.0,2.0,20.0,20
ZM,20,2.1,2.1,2.1,21.0,21
EXEL,20,2.1,2.1,2.1,21.0,21
AVEUSD.i,20,2.1,2.1350000000000002,2.3,21.0,23
RMD,20,2.1,2.1,2.1,21.0,21
PII,20,2.1,2.1,2.1,21.0,21
ATR,20,2.1,2.1,2.1,21.0,21
WEC,20,2.1,2.1,2.1,21.0,21
TRN,20,2.1,2.1,2.1,21.0,21
AIG.i,20,2.1,2.1,2.1,21.0,21
MNST,20,2.1,2.1,2.1,21.0,21
META.i,20,2.1,2.1,2.1,21.0,21
ITRI,20,2.1,2.1,2.1,21.0,21
PFG,20,2.1,2.1,2.1,21.0,21
BKKT,20,2.1,2.1,2.1,21.0,21
MMM,20,2.1,2.1,2.1,21.0,21
EMR,20,2.1,2.1,2.1,21.0,21
CDW,20,2.1,2.1,2.1,21.0,21
