exit_time,symbol,net_$,equity_$,drawdown_%
2023-03-21 21:40:00,USDMXN,12.56,1508.18,-3.15
2023-03-21 16:55:00,EURCAD,4.47,1512.65,-2.86
2023-03-22 01:15:00,EURJPY,2.73,1515.38,-2.69
2023-03-22 17:45:00,EURCAD,2.82,1518.2,-2.5
2023-03-22 16:35:00,EURJPY,-3.4,1514.8,-2.72
2023-03-22 20:00:00,GBPCAD,6.68,1521.48,-2.29
2023-03-22 20:00:00,EURJPY,-2.88,1518.6,-2.48
2023-03-22 18:45:00,EURCAD,3.28,1521.88,-2.27
2023-03-22 20:00:00,GBPUSD,4.09,1525.97,-2.01
2023-03-23 18:25:00,XAUUSD,33.6,1559.57,0.0
2023-03-23 20:55:00,GBPUSD,-8.62,1550.95,-0.55
2023-03-23 18:35:00,GBPCAD,7.04,1557.99,-0.1
2023-03-24 01:15:00,EURCAD,0.46,1558.45,-0.07
2023-03-23 18:15:00,AUDCAD,-0.88,1557.57,-0.13
2023-03-23 21:05:00,EURJPY,13.9,1571.47,0.0
2023-03-23 19:05:00,AUDCAD,0.95,1572.42,0.0
2023-03-24 03:05:00,GBPCAD,1.64,1574.06,0.0
2023-03-24 03:10:00,AUDCAD,3.37,1577.43,0.0
2023-03-24 16:00:00,AUDCAD,1.3,1578.73,0.0
2023-03-24 18:00:00,XAUUSD,-10.7,1568.03,-0.68
2023-03-24 16:45:00,AUDCAD,-1.84,1566.19,-0.79
2023-03-24 18:00:00,GBPCAD,-4.05,1562.14,-1.05
2023-03-24 18:00:00,EURJPY,-5.36,1556.78,-1.39
2023-03-27 01:05:00,EURJPY,-2.98,1553.8,-1.58
2023-03-27 18:05:00,USDMXN,-5.12,1548.68,-1.9
2023-03-28 00:30:00,GBPUSD,4.14,1552.82,-1.64
2023-03-27 20:00:00,GBPCAD,-3.69,1549.13,-1.87
2023-03-28 15:40:00,GBPUSD,-1.73,1547.4,-1.98
2023-03-28 16:15:00,EURCAD,-2.99,1544.41,-2.17
2023-03-28 17:10:00,GBPCAD,-3.74,1540.67,-2.41
2023-03-28 17:45:00,GBPUSD,4.27,1544.94,-2.14
2023-03-29 14:55:00,USDMXN,-3.8,1541.14,-2.38
2023-03-29 15:20:00,USDMXN,1.87,1543.01,-2.26
2023-03-29 18:25:00,USDMXN,6.69,1549.7,-1.84
2023-03-29 17:25:00,EURJPY,-3.37,1546.33,-2.05
2023-03-30 00:00:00,AUDCAD,3.87,1550.2,-1.81
2023-03-30 02:10:00,EURJPY,3.38,1553.58,-1.59
