entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2026-03-13 15:50:00,2026-03-13 16:00:00,S,1.14851,1.14748,1.14902,1.14748,2.0,tp,2.06,0.26,1.8,93.86,EURUSD,1093.86,0.0
2026-03-13 16:05:00,2026-03-13 17:40:00,S,1.14732,1.14391,1.14903,1.14391,2.0,tp,6.82,0.26,6.56,100.42,EURUSD,1100.42,0.0
2026-03-13 16:10:00,2026-03-13 17:40:00,S,1.32718,1.32355,1.32899,1.32355,2.0,tp,7.25,0.32,6.93,107.35,GBPUSD,1107.35,0.0
2026-03-13 16:15:00,2026-03-13 17:40:00,L,17.80193,17.92146,17.74217,17.92146,2.0,tp,13.81,1.2,12.61,119.96,USDMXN,1119.96,0.0
2026-03-13 17:50:00,2026-03-16 01:55:00,S,1.32411,1.32462,1.32659,1.31914,-0.205,time,-1.02,0.32,-1.34,118.62,GBPUSD,1118.62,-0.12
2026-03-16 14:05:00,2026-03-16 14:25:00,S,5000.43,5023.28378,5023.28378,4954.72244,-1.0,sl,-45.71,0.34,-46.05,72.57,XAUUSD,1072.57,-4.23
2026-03-16 15:05:00,2026-03-16 15:15:00,S,5015.73,5026.03166,5026.03166,4995.12668,-1.0,sl,-20.6,0.34,-20.94,51.63,XAUUSD,1051.63,-6.1
2026-03-16 15:40:00,2026-03-16 16:05:00,S,5027.68,5034.92024,5034.92024,5013.19951,-1.0,sl,-14.48,0.34,-14.82,36.81,XAUUSD,1036.81,-7.42
2026-03-16 15:50:00,2026-03-16 21:15:00,L,0.57617,0.57512,0.57512,0.57826,-1.0,sl,-2.67,0.46,-3.13,33.68,CADCHF,1033.68,-7.7
2026-03-16 16:15:00,2026-03-16 16:30:00,S,5028.51,5008.16998,5038.68001,5008.16998,2.0,tp,40.68,0.34,40.34,74.02,XAUUSD,1074.02,-4.1
2026-03-16 21:05:00,2026-03-16 21:10:00,S,5012.28,5018.09394,5018.09394,5000.65212,-1.0,sl,-11.63,0.34,-11.97,62.05,XAUUSD,1062.05,-5.17
2026-03-16 21:15:00,2026-03-16 22:10:00,S,5011.89,5020.85277,5020.85277,4993.96445,-1.0,sl,-17.93,0.34,-18.27,43.78,XAUUSD,1043.78,-6.8
2026-03-17 14:40:00,2026-03-17 15:30:00,S,5017.25,5024.40625,5024.40625,5002.93751,-1.0,sl,-14.31,0.34,-14.65,29.13,XAUUSD,1029.13,-8.11
2026-03-17 16:05:00,2026-03-18 01:05:00,S,5010.66,5000.59,5032.07873,4967.82255,0.47,time,20.14,0.34,19.8,48.93,XAUUSD,1048.93,-6.34
2026-03-18 15:10:00,2026-03-18 21:00:00,L,0.57516,0.57752,0.57398,0.57752,2.0,tp,6.01,0.46,5.55,54.48,CADCHF,1054.48,-5.85
2026-03-18 15:35:00,2026-03-18 17:05:00,S,1.3314,1.33366,1.33366,1.32689,-1.0,sl,-4.51,0.32,-4.83,49.65,GBPUSD,1049.65,-6.28
2026-03-18 16:55:00,2026-03-18 19:55:00,S,1.82525,1.82771,1.82771,1.82033,-1.0,sl,-3.56,0.43,-3.99,45.66,GBPCAD,1045.66,-6.63
2026-03-18 18:15:00,2026-03-19 02:15:00,S,1.57684,1.57349,1.57961,1.57129,1.208,time,4.85,0.41,4.44,50.1,EURCAD,1050.1,-6.24
2026-03-18 19:45:00,2026-03-18 20:00:00,S,4894.57,4884.44764,4899.63118,4884.44764,2.0,tp,20.24,0.34,19.9,70.0,XAUUSD,1070.0,-4.46
2026-03-18 20:10:00,2026-03-18 21:00:00,S,4883.72,4851.3722,4899.8939,4851.3722,2.0,tp,64.7,0.34,64.36,134.36,XAUUSD,1134.36,0.0
2026-03-19 15:30:00,2026-03-19 15:30:00,L,1.82678,1.82451,1.82451,1.83133,-1.0,sl,-3.29,0.43,-3.72,130.64,GBPCAD,1130.64,-0.33
2026-03-19 15:50:00,2026-03-19 17:05:00,L,1.82813,1.83695,1.82372,1.83695,2.0,tp,12.76,0.43,12.33,142.97,GBPCAD,1142.97,0.0
2026-03-19 17:40:00,2026-03-19 19:30:00,L,0.57673,0.57577,0.57577,0.57865,-1.0,sl,-2.45,0.46,-2.91,140.06,CADCHF,1140.06,-0.25
2026-03-20 15:40:00,2026-03-22 23:45:00,S,1.33563,1.33084,1.33907,1.32875,1.393,time,9.58,0.32,9.26,149.32,GBPUSD,1149.32,0.0
