entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2025-06-13 17:40:00,2025-06-16 01:45:00,L,1.35567,1.35604,1.35287,1.36127,0.132,time,0.74,0.32,0.42,3226.31,GBPUSD,4226.31,0.0
2025-06-13 18:55:00,2025-06-13 19:50:00,S,0.88418,0.88475,0.88475,0.88305,-1.0,sl,-0.82,0.29,-1.11,3225.2,AUDCAD,4225.2,-0.03
2025-06-13 19:10:00,2025-06-16 00:20:00,S,1.84521,1.84146,1.84709,1.84146,2.0,tp,5.43,0.43,5.0,3230.2,GBPCAD,4230.2,0.0
2025-06-16 14:45:00,2025-06-16 15:05:00,S,18.892,18.90636,18.90636,18.86328,-1.0,sl,-1.66,1.2,-2.86,3227.34,USDMXN,4227.34,-0.07
2025-06-16 15:15:00,2025-06-16 16:05:00,S,18.889,18.84882,18.90909,18.84882,2.0,tp,4.64,1.2,3.44,3230.78,USDMXN,4230.78,0.0
2025-06-16 15:35:00,2025-06-16 16:55:00,S,1.84214,1.84382,1.84382,1.83878,-1.0,sl,-2.43,0.43,-2.86,3227.92,GBPCAD,4227.92,-0.07
2025-06-16 15:40:00,2025-06-16 17:35:00,L,1.57059,1.57323,1.56927,1.57323,2.0,tp,3.83,0.41,3.42,3231.34,EURCAD,4231.34,0.0
2025-06-16 15:55:00,2025-06-16 16:20:00,L,1.35822,1.36009,1.35729,1.36009,2.0,tp,3.73,0.32,3.41,3234.75,GBPUSD,4234.75,0.0
2025-06-16 16:55:00,2025-06-16 22:50:00,L,1.35993,1.35792,1.35792,1.36394,-1.0,sl,-4.01,0.32,-4.33,3230.42,GBPUSD,4230.42,-0.1
2025-06-16 17:45:00,2025-06-16 18:45:00,L,1.57181,1.56967,1.56967,1.5761,-1.0,sl,-3.1,0.41,-3.51,3226.91,EURCAD,4226.91,-0.19
2025-06-16 17:55:00,2025-06-17 01:55:00,S,1.84312,1.84188,1.84553,1.8383,0.515,time,1.79,0.43,1.36,3228.27,GBPCAD,4228.27,-0.15
2025-06-16 19:05:00,2025-06-16 19:10:00,S,18.92725,18.91875,18.9315,18.91875,2.0,tp,0.98,1.2,-0.22,3228.05,USDMXN,4228.05,-0.16
2025-06-17 15:30:00,2025-06-17 16:05:00,S,1.83871,1.84074,1.84074,1.83464,-1.0,sl,-2.94,0.43,-3.37,3224.68,GBPCAD,4224.68,-0.24
2025-06-17 16:05:00,2025-06-17 17:30:00,L,1.5692,1.56737,1.56737,1.57286,-1.0,sl,-2.65,0.41,-3.06,3221.62,EURCAD,4221.62,-0.31
2025-06-17 16:40:00,2025-06-17 17:35:00,S,1.84004,1.83605,1.84203,1.83605,2.0,tp,5.77,0.43,5.34,3226.96,GBPCAD,4226.96,-0.18
2025-06-17 17:15:00,2025-06-17 17:25:00,S,0.88717,0.88572,0.8879,0.88572,2.0,tp,2.1,0.29,1.81,3228.77,AUDCAD,4228.77,-0.14
2025-06-17 17:55:00,2025-06-18 01:55:00,S,1.83593,1.83731,1.83997,1.82786,-0.342,time,-2.0,0.43,-2.43,3226.34,GBPCAD,4226.34,-0.2
2025-06-18 14:50:00,2025-06-18 17:00:00,S,18.9609,18.9853,18.9853,18.91209,-1.0,sl,-2.82,1.2,-4.02,3222.32,USDMXN,4222.32,-0.29
2025-06-18 15:05:00,2025-06-18 15:30:00,L,0.88802,0.88675,0.88675,0.89056,-1.0,sl,-1.84,0.29,-2.13,3220.19,AUDCAD,4220.19,-0.34
2025-06-18 15:55:00,2025-06-18 16:05:00,L,0.88668,0.88746,0.88629,0.88746,2.0,tp,1.13,0.29,0.84,3221.03,AUDCAD,4221.03,-0.32
2025-06-18 16:10:00,2025-06-18 17:00:00,L,0.88748,0.88987,0.88629,0.88987,2.0,tp,3.45,0.29,3.16,3224.19,AUDCAD,4224.19,-0.25
2025-06-18 16:10:00,2025-06-18 17:00:00,S,1.83587,1.83808,1.83808,1.83146,-1.0,sl,-3.19,0.43,-3.62,3220.57,GBPCAD,4220.57,-0.33
2025-06-18 17:05:00,2025-06-19 01:05:00,L,1.57281,1.57267,1.56917,1.58008,-0.038,time,-0.2,0.41,-0.61,3219.96,EURCAD,4219.96,-0.35
2025-06-18 17:05:00,2025-06-19 01:05:00,L,0.88986,0.89117,0.88684,0.8959,0.434,time,1.9,0.29,1.61,3221.57,AUDCAD,4221.57,-0.31
2025-06-18 18:05:00,2025-06-18 22:05:00,L,3387.96,3373.5387,3373.5387,3416.80259,-1.0,sl,-28.84,0.34,-29.18,3192.39,XAUUSD,4192.39,-1.0
2025-06-19 15:05:00,2025-06-19 15:15:00,L,1.57352,1.57251,1.57251,1.57554,-1.0,sl,-1.46,0.41,-1.87,3190.52,EURCAD,4190.52,-1.04
2025-06-19 15:45:00,2025-06-19 23:45:00,L,1.57388,1.57537,1.57232,1.577,0.957,time,2.16,0.41,1.75,3192.27,EURCAD,4192.27,-1.0
2025-06-20 14:50:00,2025-06-20 15:35:00,S,19.014,19.03957,19.03957,18.96285,-1.0,sl,-2.95,1.2,-4.15,3188.12,USDMXN,4188.12,-1.1
2025-06-20 15:05:00,2025-06-20 18:10:00,L,1.57929,1.58243,1.57772,1.58243,2.0,tp,4.54,0.41,4.13,3192.25,EURCAD,4192.25,-1.0
2025-06-20 15:05:00,2025-06-20 15:05:00,L,1.34941,1.34855,1.34855,1.35114,-1.0,sl,-1.73,0.32,-2.05,3190.2,GBPUSD,4190.2,-1.05
2025-06-20 15:35:00,2025-06-20 17:00:00,L,1.34995,1.34843,1.34843,1.353,-1.0,sl,-3.05,0.32,-3.37,3186.83,GBPUSD,4186.83,-1.13
2025-06-20 16:10:00,2025-06-20 16:35:00,L,3348.72,3363.11204,3341.52398,3363.11204,2.0,tp,28.78,0.34,28.44,3215.27,XAUUSD,4215.27,-0.46
2025-06-20 18:25:00,2025-06-23 00:00:00,L,1.58295,1.57868,1.57868,1.59149,-1.0,sl,-6.18,0.41,-6.59,3208.68,EURCAD,4208.68,-0.62
2025-06-23 16:05:00,2025-06-23 16:35:00,L,3362.38,3376.12401,3355.50799,3376.12401,2.0,tp,27.49,0.34,27.15,3235.83,XAUUSD,4235.83,0.0
2025-06-23 16:10:00,2025-06-23 17:00:00,L,1.84531,1.84846,1.84374,1.84846,2.0,tp,4.55,0.43,4.12,3239.95,GBPCAD,4239.95,0.0
2025-06-23 16:25:00,2025-06-23 17:05:00,L,1.58067,1.58351,1.57925,1.58351,2.0,tp,4.1,0.41,3.69,3243.64,EURCAD,4243.64,0.0
2025-06-23 17:15:00,2025-06-24 01:15:00,L,1.85032,1.85889,1.84496,1.86104,1.599,time,12.4,0.43,11.97,3255.61,GBPCAD,4255.61,0.0
2025-06-23 17:20:00,2025-06-23 20:50:00,L,1.58338,1.59116,1.57949,1.59116,2.0,tp,11.26,0.41,10.85,3266.46,EURCAD,4266.46,0.0
2025-06-23 18:20:00,2025-06-24 02:20:00,L,1.35,1.35469,1.34655,1.3569,1.36,time,9.38,0.32,9.06,3275.52,GBPUSD,4275.52,0.0
2025-06-23 20:10:00,2025-06-24 00:05:00,S,19.1724,19.10051,19.20834,19.10051,2.0,tp,8.3,1.2,7.1,3282.62,USDMXN,4282.62,0.0
2025-06-24 15:40:00,2025-06-24 17:20:00,S,19.0288,18.97277,19.05681,18.97277,2.0,tp,6.47,1.2,5.27,3287.89,USDMXN,4287.89,0.0
2025-06-24 16:50:00,2025-06-24 20:45:00,L,1.865,1.86968,1.86266,1.86968,2.0,tp,6.78,0.43,6.35,3294.24,GBPCAD,4294.24,0.0
2025-06-24 17:00:00,2025-06-25 01:00:00,L,1.58993,1.59315,1.58734,1.5951,1.245,time,4.66,0.41,4.25,3298.49,EURCAD,4298.49,0.0
2025-06-24 17:00:00,2025-06-24 17:05:00,L,1.35985,1.36157,1.35899,1.36157,2.0,tp,3.43,0.32,3.11,3301.6,GBPUSD,4301.6,0.0
2025-06-24 17:10:00,2025-06-25 00:00:00,L,0.89098,0.88962,0.88962,0.8937,-1.0,sl,-1.97,0.29,-2.26,3299.34,AUDCAD,4299.34,-0.05
2025-06-24 17:55:00,2025-06-25 01:55:00,L,1.36179,1.36132,1.35919,1.36699,-0.181,time,-0.94,0.32,-1.26,3298.08,GBPUSD,4298.08,-0.08
2025-06-25 15:45:00,2025-06-25 19:00:00,L,1.86909,1.87374,1.86677,1.87374,2.0,tp,6.72,0.43,6.29,3304.37,GBPCAD,4304.37,0.0
2025-06-25 16:05:00,2025-06-25 18:10:00,S,18.9863,18.90661,19.02614,18.90661,2.0,tp,9.2,1.2,8.0,3312.37,USDMXN,4312.37,0.0
2025-06-25 16:10:00,2025-06-25 17:25:00,L,1.59334,1.5957,1.59216,1.5957,2.0,tp,3.42,0.41,3.01,3315.38,EURCAD,4315.38,0.0
2025-06-25 16:15:00,2025-06-25 19:00:00,L,1.36047,1.36349,1.35896,1.36349,2.0,tp,6.04,0.32,5.72,3321.1,GBPUSD,4321.1,0.0
2025-06-25 17:05:00,2025-06-25 21:40:00,L,0.89165,0.89348,0.89073,0.89348,2.0,tp,2.65,0.29,2.36,3323.46,AUDCAD,4323.46,0.0
2025-06-25 18:00:00,2025-06-25 21:40:00,L,1.59572,1.60056,1.5933,1.60056,2.0,tp,7.01,0.41,6.6,3330.06,EURCAD,4330.06,0.0
2025-06-26 15:15:00,2025-06-26 16:05:00,L,0.89403,0.89353,0.89353,0.89503,-1.0,sl,-0.73,0.29,-1.02,3329.04,AUDCAD,4329.04,-0.02
2025-06-26 15:25:00,2025-06-26 17:45:00,L,1.37159,1.37504,1.36986,1.37504,2.0,tp,6.91,0.32,6.59,3335.63,GBPUSD,4335.63,0.0
2025-06-26 15:40:00,2025-06-26 16:00:00,L,1.6009,1.59907,1.59907,1.60456,-1.0,sl,-2.65,0.41,-3.06,3332.57,EURCAD,4332.57,-0.07
2025-06-26 17:55:00,2025-06-27 01:55:00,S,18.88821,18.8865,18.93724,18.79015,0.035,time,0.2,1.2,-1.0,3331.57,USDMXN,4331.57,-0.09
2025-06-26 19:25:00,2025-06-26 22:15:00,L,1.37485,1.37289,1.37289,1.37878,-1.0,sl,-3.93,0.32,-4.25,3327.32,GBPUSD,4327.32,-0.19
2025-06-27 14:05:00,2025-06-27 15:30:00,S,18.87981,18.84661,18.89641,18.84661,2.0,tp,3.84,1.2,2.64,3329.96,USDMXN,4329.96,-0.13
2025-06-27 15:25:00,2025-06-27 16:30:00,L,1.37363,1.3719,1.3719,1.3771,-1.0,sl,-3.47,0.32,-3.79,3326.17,GBPUSD,4326.17,-0.22
2025-06-27 15:35:00,2025-06-27 23:35:00,L,1.60139,1.60425,1.59737,1.60942,0.712,time,4.14,0.41,3.73,3329.9,EURCAD,4329.9,-0.13
2025-06-27 15:35:00,2025-06-27 16:25:00,L,1.87513,1.87269,1.87269,1.88001,-1.0,sl,-3.53,0.43,-3.96,3325.94,GBPCAD,4325.94,-0.22
2025-06-27 18:10:00,2025-06-27 20:45:00,L,1.87274,1.87634,1.87094,1.87634,2.0,tp,5.21,0.43,4.78,3330.72,GBPCAD,4330.72,-0.11
